,user,churnedAfterSix,weekNumber,article,diary,message,recipe,weight,numberEvents,delta_numberEvents,messageCount_group,messageCount_private,sentiment_group,sentiment_private,questionsAsked_group,questionsAsked_private,emojisUsed_group,emojisUsed_private,mentionedScales_group,mentionedScales_private,mentionedTracker_group,mentionedTracker_private,delta_messageCount_group,delta_messageCount_private,delta_sentiment_group,delta_sentiment_private,delta_questionsAsked_group,delta_questionsAsked_private,delta_emojisUsed_group,delta_emojisUsed_private,delta_mentionedScales_group,delta_mentionedScales_private,delta_mentionedTracker_group,delta_mentionedTracker_private
10,5a434efac3a72a107ce35c25,False,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.354,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5a434efac3a72a107ce35c25,False,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.775,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5a434efac3a72a107ce35c25,False,5,0.0,0.0,4.0,0.0,4.0,4.0,3.0,2.0,2.0,0.143,0.206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-0.632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,5a434efac3a72a107ce35c25,False,6,0.0,0.0,2.0,0.0,1.0,1.0,-3.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.143,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
14,5a4feb9c0fb3cc7e95f244b8,False,0,8.0,0.0,9.0,0.0,8.0,16.0,0.0,6.0,3.0,-0.048,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5a4feb9c0fb3cc7e95f244b8,False,1,5.0,1.0,20.0,0.0,5.0,11.0,-5.0,18.0,2.0,0.046,-0.053,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,-1.0,0.094,-0.063,4.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0
16,5a4feb9c0fb3cc7e95f244b8,False,2,6.0,0.0,15.0,0.0,3.0,9.0,-2.0,15.0,0.0,0.073,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,0.026,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0
17,5a4feb9c0fb3cc7e95f244b8,False,3,6.0,0.0,3.0,0.0,3.0,9.0,0.0,3.0,0.0,0.052,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-0.021,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5a4feb9c0fb3cc7e95f244b8,False,4,1.0,0.0,1.0,0.0,1.0,2.0,-7.0,1.0,0.0,0.148,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5a4feb9c0fb3cc7e95f244b8,False,5,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5a4feb9c0fb3cc7e95f244b8,False,6,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5a5b956b86ef893f9f93799a,False,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5a5b956b86ef893f9f93799a,False,1,16.0,23.0,15.0,3.0,4.0,46.0,46.0,11.0,4.0,0.147,0.325,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,-0.053,0.115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,5a5b956b86ef893f9f93799a,False,2,6.0,18.0,4.0,1.0,1.0,26.0,-20.0,1.0,3.0,0.162,0.181,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.0,-1.0,0.015,-0.144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,5a5b956b86ef893f9f93799a,False,3,6.0,18.0,5.0,1.0,2.0,27.0,1.0,4.0,0.0,0.036,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,-0.125,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0
25,5a5b956b86ef893f9f93799a,False,4,6.0,20.0,14.0,0.0,3.0,29.0,2.0,7.0,7.0,0.23,0.069,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.193,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
26,5a5b956b86ef893f9f93799a,False,5,6.0,20.0,4.0,0.0,1.0,27.0,-2.0,4.0,0.0,-0.073,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-7.0,-0.303,0.0,0.0,-3.0,0.0,0.0,0.0,-1.0,0.0,0.0
27,5a5b956b86ef893f9f93799a,False,6,6.0,16.0,1.0,0.0,1.0,23.0,-4.0,1.0,0.0,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5a75a465eab9185480e42453,True,0,0.0,1.0,3.0,0.0,9.0,10.0,0.0,3.0,0.0,0.013,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,5a75a465eab9185480e42453,True,1,6.0,25.0,10.0,0.0,5.0,36.0,26.0,7.0,3.0,0.321,0.211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.309,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,5a75a465eab9185480e42453,True,2,6.0,16.0,8.0,0.0,3.0,25.0,-11.0,6.0,2.0,0.372,0.214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.051,0.003,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
31,5a75a465eab9185480e42453,True,3,6.0,2.0,14.0,0.0,3.0,11.0,-14.0,12.0,2.0,0.102,0.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-0.27,0.221,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5a75a465eab9185480e42453,True,4,6.0,0.0,4.0,0.0,2.0,8.0,-3.0,4.0,0.0,0.113,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-2.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,5a75a465eab9185480e42453,True,5,6.0,4.0,8.0,0.0,1.0,11.0,3.0,8.0,0.0,0.114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.001,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,5a75a465eab9185480e42453,True,6,6.0,0.0,6.0,0.0,1.0,7.0,-4.0,5.0,1.0,0.058,-0.077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,-0.056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,5aa6d1995d2b4437b66358f1,False,0,0.0,0.0,7.0,1.0,6.0,7.0,0.0,5.0,2.0,0.26,0.289,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,5aa6d1995d2b4437b66358f1,False,1,5.0,13.0,32.0,0.0,17.0,35.0,28.0,20.0,10.0,0.101,0.094,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,15.0,8.0,-0.159,-0.195,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
37,5aa6d1995d2b4437b66358f1,False,2,5.0,12.0,32.0,0.0,17.0,34.0,-1.0,31.0,1.0,0.179,0.165,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,11.0,-9.0,0.078,0.071,0.0,0.0,5.0,-2.0,1.0,0.0,0.0,0.0
38,5aa6d1995d2b4437b66358f1,False,3,3.0,0.0,7.0,0.0,9.0,12.0,-22.0,7.0,0.0,0.018,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-24.0,-1.0,-0.161,0.0,0.0,0.0,-10.0,0.0,-1.0,0.0,0.0,0.0
39,5aa6d1995d2b4437b66358f1,False,4,11.0,4.0,11.0,0.0,16.0,31.0,19.0,4.0,7.0,0.112,-0.018,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,-3.0,7.0,0.094,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
40,5aa6d1995d2b4437b66358f1,False,5,1.0,0.0,0.0,0.0,16.0,17.0,-14.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0
41,5aa6d1995d2b4437b66358f1,False,6,10.0,0.0,3.0,0.0,9.0,19.0,2.0,3.0,0.0,0.194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,5acc6ac7fb798e3962d679b3,False,0,4.0,0.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,0.062,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,5acc6ac7fb798e3962d679b3,False,1,10.0,33.0,21.0,0.0,1.0,44.0,39.0,16.0,5.0,0.166,0.305,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.104,0.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
44,5acc6ac7fb798e3962d679b3,False,2,0.0,33.0,14.0,0.0,1.0,34.0,-10.0,14.0,0.0,0.203,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-5.0,0.037,0.0,-3.0,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0
45,5acc6ac7fb798e3962d679b3,False,3,2.0,18.0,7.0,0.0,1.0,21.0,-13.0,7.0,0.0,0.145,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-0.058,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,5acc6ac7fb798e3962d679b3,False,4,0.0,0.0,4.0,0.0,2.0,2.0,-19.0,0.0,4.0,,0.058,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,4.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
47,5acc6ac7fb798e3962d679b3,False,5,4.0,0.0,8.0,0.0,1.0,5.0,3.0,6.0,2.0,0.171,0.078,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,-2.0,0.0,0.021,0.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0
48,5acc6ac7fb798e3962d679b3,False,6,0.0,0.0,5.0,0.0,1.0,1.0,-4.0,2.0,3.0,0.007,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,-0.163,0.297,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0
49,5ad7b7034a2e2a0628665c71,False,0,10.0,0.0,11.0,0.0,0.0,10.0,0.0,11.0,0.0,0.136,,5.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5ad7b7034a2e2a0628665c71,False,1,6.0,10.0,6.0,0.0,7.0,23.0,13.0,6.0,0.0,0.186,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.05,0.0,-4.0,0.0,-3.0,0.0,0.0,0.0,-1.0,0.0
51,5ad7b7034a2e2a0628665c71,False,2,4.0,0.0,13.0,1.0,5.0,10.0,-13.0,7.0,6.0,0.113,0.159,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,-0.073,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
52,5ad7b7034a2e2a0628665c71,False,3,4.0,0.0,4.0,0.0,0.0,4.0,-6.0,2.0,2.0,0.139,0.532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.0,0.026,0.374,-2.0,-1.0,-3.0,0.0,-1.0,0.0,-1.0,0.0
53,5ad7b7034a2e2a0628665c71,False,4,3.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5ad7b7034a2e2a0628665c71,False,5,10.0,0.0,0.0,0.0,1.0,11.0,6.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,5ad7b7034a2e2a0628665c71,False,6,3.0,0.0,0.0,0.0,0.0,3.0,-8.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,5af86dd57e656f2faca52e19,False,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.159,,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,5af86dd57e656f2faca52e19,False,1,3.0,1.0,20.0,0.0,4.0,8.0,8.0,20.0,0.0,0.185,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.026,0.0,-2.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
58,5af86dd57e656f2faca52e19,False,2,5.0,3.0,7.0,0.0,1.0,9.0,1.0,5.0,2.0,0.268,0.184,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-15.0,2.0,0.083,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,5af86dd57e656f2faca52e19,False,3,9.0,0.0,2.0,0.0,1.0,10.0,1.0,2.0,0.0,0.23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-0.038,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
60,5af86dd57e656f2faca52e19,False,4,6.0,0.0,4.0,0.0,2.0,8.0,-2.0,4.0,0.0,0.107,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.123,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,5af86dd57e656f2faca52e19,False,5,4.0,0.0,2.0,0.0,2.0,6.0,-2.0,2.0,0.0,0.194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.087,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
62,5af86dd57e656f2faca52e19,False,6,2.0,0.0,2.0,0.0,1.0,3.0,-3.0,1.0,1.0,0.083,0.101,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.111,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63,5b12de5abfb9e15cb67db88e,False,0,0.0,0.0,7.0,20.0,1.0,21.0,0.0,4.0,3.0,0.188,0.247,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,5b12de5abfb9e15cb67db88e,False,1,5.0,43.0,32.0,0.0,4.0,52.0,31.0,31.0,1.0,0.469,-0.247,2.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,27.0,-2.0,0.281,-0.493,2.0,1.0,20.0,-1.0,0.0,0.0,0.0,0.0
65,5b12de5abfb9e15cb67db88e,False,2,5.0,32.0,11.0,0.0,2.0,39.0,-13.0,10.0,1.0,0.334,-0.156,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,-0.134,0.091,-2.0,-1.0,-9.0,0.0,0.0,0.0,0.0,0.0
66,5b12de5abfb9e15cb67db88e,False,3,3.0,47.0,2.0,0.0,1.0,51.0,12.0,2.0,0.0,0.318,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,-1.0,-0.016,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0
67,5b12de5abfb9e15cb67db88e,False,4,8.0,15.0,3.0,0.0,2.0,25.0,-26.0,3.0,0.0,0.258,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,5b12de5abfb9e15cb67db88e,False,5,4.0,0.0,3.0,0.0,0.0,4.0,-21.0,3.0,0.0,0.092,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,5b12de5abfb9e15cb67db88e,False,6,0.0,0.0,0.0,0.0,1.0,1.0,-3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
70,5b1ba42ff84be476e61dbaae,False,0,10.0,0.0,1.0,0.0,14.0,24.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,5b1ba42ff84be476e61dbaae,False,1,1.0,0.0,0.0,0.0,16.0,17.0,-7.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,5b1ba42ff84be476e61dbaae,False,2,2.0,0.0,0.0,0.0,7.0,9.0,-8.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,5b1ba42ff84be476e61dbaae,False,3,3.0,0.0,2.0,0.0,7.0,10.0,1.0,2.0,0.0,0.012,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,5b1ba42ff84be476e61dbaae,False,4,0.0,0.0,0.0,0.0,7.0,7.0,-3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,5b1ba42ff84be476e61dbaae,False,5,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,5b1ba42ff84be476e61dbaae,False,6,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,5b1cdb1d6829f70bd49a5b25,False,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.069,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,5b1cdb1d6829f70bd49a5b25,False,1,6.0,0.0,20.0,0.0,6.0,12.0,12.0,20.0,0.0,0.158,,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.088,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0
79,5b1cdb1d6829f70bd49a5b25,False,2,6.0,7.0,15.0,0.0,8.0,21.0,9.0,15.0,0.0,0.084,,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-0.074,0.0,0.0,0.0,-5.0,0.0,-1.0,0.0,0.0,0.0
80,5b1cdb1d6829f70bd49a5b25,False,3,6.0,0.0,5.0,0.0,7.0,13.0,-8.0,1.0,4.0,0.286,0.201,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-14.0,4.0,0.202,0.0,-1.0,0.0,-5.0,2.0,0.0,0.0,0.0,0.0
81,5b1cdb1d6829f70bd49a5b25,False,4,4.0,0.0,7.0,0.0,4.0,8.0,-5.0,7.0,0.0,0.329,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,-4.0,0.043,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0
82,5b1cdb1d6829f70bd49a5b25,False,5,8.0,0.0,0.0,0.0,7.0,15.0,7.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
83,5b1cdb1d6829f70bd49a5b25,False,6,4.0,0.0,1.0,0.0,2.0,6.0,-9.0,0.0,1.0,,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,5b2c82b3b7e5563baa73f214,False,0,4.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,1.036,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,5b2c82b3b7e5563baa73f214,False,1,9.0,0.0,4.0,0.0,3.0,12.0,7.0,4.0,0.0,0.387,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,5b2c82b3b7e5563baa73f214,False,2,0.0,0.0,4.0,0.0,1.0,1.0,-11.0,3.0,1.0,0.633,-0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,5b2c82b3b7e5563baa73f214,False,3,2.0,0.0,8.0,3.0,6.0,11.0,10.0,6.0,2.0,0.057,0.204,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.576,0.284,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
88,5b2c82b3b7e5563baa73f214,False,4,0.0,0.0,4.0,0.0,3.0,3.0,-8.0,3.0,1.0,0.104,0.738,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.048,0.534,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
89,5b2c82b3b7e5563baa73f214,False,5,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0
90,5b2c82b3b7e5563baa73f214,False,6,0.0,0.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,,0.142,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
